Cocaine metabolism	WP2826	wikipathways	isPartOf	Drug metabolism - other enzymes - Homo sapiens (human)	path:hsa00983	kegg
Heroin metabolism	WP2645	wikipathways	isPartOf	Drug metabolism - other enzymes - Homo sapiens (human)	path:hsa00983	kegg
ECM-receptor interaction - Homo sapiens (human)	path:hsa04512	kegg	isPartOf	Focal Adhesion	WP306	wikipathways
Endometrial cancer - Homo sapiens (human)	path:hsa05213	kegg	equivalentTo	Endometrial cancer	WP4155	wikipathways
ErbB signaling pathway - Homo sapiens (human)	path:hsa04012	kegg	equivalentTo	ErbB Signaling Pathway	WP673	wikipathways
Estrogen signaling pathway - Homo sapiens (human)	path:hsa04915	kegg	equivalentTo	Estrogen signaling pathway	WP712	wikipathways
Fatty acid biosynthesis - Homo sapiens (human)	path:hsa00061	kegg	equivalentTo	Fatty Acid Biosynthesis	WP357	wikipathways
Fatty Acid Omega Oxidation	WP206	wikipathways	isPartOf	Fatty acid degradation - Homo sapiens (human)	path:hsa00071	kegg
Peroxisomal beta-oxidation of tetracosanoyl-CoA	WP1941	wikipathways	isPartOf	Fatty acid degradation - Homo sapiens (human)	path:hsa00071	kegg
Mitochondrial LC-Fatty Acid Beta-Oxidation	WP368	wikipathways	isPartOf	Fatty acid degradation - Homo sapiens (human)	path:hsa00071	kegg
Fatty Acid Beta Oxidation	WP143	wikipathways	isPartOf	Fatty acid degradation - Homo sapiens (human)	path:hsa00071	kegg
Peroxisomal beta-oxidation of tetracosanoyl-CoA	WP1941	wikipathways	isPartOf	Fatty acid metabolism - Homo sapiens (human)	path:hsa01212	kegg
Mitochondrial LC-Fatty Acid Beta-Oxidation	WP368	wikipathways	isPartOf	Fatty acid metabolism - Homo sapiens (human)	path:hsa01212	kegg
Fatty Acid Beta Oxidation	WP143	wikipathways	isPartOf	Fatty acid metabolism - Homo sapiens (human)	path:hsa01212	kegg
Fatty Acid Biosynthesis	WP357	wikipathways	isPartOf	Fatty acid metabolism - Homo sapiens (human)	path:hsa01212	kegg
Focal adhesion - Homo sapiens (human)	path:hsa04510	kegg	equivalentTo	Focal Adhesion	WP306	wikipathways
Biosynthesis and regeneration of tetrahydrobiopterin (BH4) and catabolism of phenylalanine, including diseases	WP4156	wikipathways	isPartOf	Folate biosynthesis - Homo sapiens (human)	path:hsa00790	kegg
GABAergic synapse - Homo sapiens (human)	path:hsa04727	kegg	isPartOf	GABA receptor Signaling	WP4159	wikipathways
Gastric acid secretion - Homo sapiens (human)	path:hsa04971	kegg	equivalentTo	Secretion of Hydrochloric Acid in Parietal Cells	WP2597	wikipathways
Gastric Cancer Network 2	WP2363	wikipathways	isPartOf	Gastric cancer - Homo sapiens (human)	path:hsa05226	kegg
Gastric Cancer Network 1	WP2361	wikipathways	isPartOf	Gastric cancer - Homo sapiens (human)	path:hsa05226	kegg
Glucagon signaling pathway - Homo sapiens (human)	path:hsa04922	kegg	isPartOf	Glycolysis and Gluconeogenesis	WP534	wikipathways
Glucagon signaling pathway - Homo sapiens (human)	path:hsa04922	kegg	isPartOf	Energy Metabolism	WP1541	wikipathways
Glucagon signaling pathway - Homo sapiens (human)	path:hsa04922	kegg	isPartOf	Glycogen Metabolism	WP500	wikipathways
Glutathione metabolism - Homo sapiens (human)	path:hsa00480	kegg	equivalentTo	Glutathione metabolism	WP100	wikipathways
Glycerophospholipid Biosynthetic Pathway	WP2533	wikipathways	isPartOf	Glycerolipid metabolism - Homo sapiens (human)	path:hsa00561	kegg
Degradation pathway of sphingolipids, including diseases	WP4153	wikipathways	isPartOf	Glycerolipid metabolism - Homo sapiens (human)	path:hsa00561	kegg
Triacylglyceride Synthesis	WP325	wikipathways	isPartOf	Glycerolipid metabolism - Homo sapiens (human)	path:hsa00561	kegg
Glycerophospholipid Biosynthetic Pathway	WP2533	wikipathways	isPartOf	Glycerophospholipid metabolism - Homo sapiens (human)	path:hsa00564	kegg
Triacylglyceride Synthesis	WP325	wikipathways	isPartOf	Glycerophospholipid metabolism - Homo sapiens (human)	path:hsa00564	kegg
Glycine, serine and threonine metabolism - Homo sapiens (human)	path:hsa00260	kegg	isPartOf	Urea cycle and metabolism of amino groups	WP497	wikipathways
Glycine, serine and threonine metabolism - Homo sapiens (human)	path:hsa00260	kegg	isPartOf	Amino Acid metabolism	WP3925	wikipathways
Glycolysis / Gluconeogenesis - Homo sapiens (human)	path:hsa00010	kegg	equivalentTo	Glycolysis and Gluconeogenesis	WP534	wikipathways
Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)	path:hsa00604	kegg	isPartOf	Ganglio Sphingolipid Metabolism	WP1423	wikipathways
Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human)	path:hsa00603	kegg	isPartOf	Globo Sphingolipid Metabolism	WP1424	wikipathways
Graft-versus-host disease - Homo sapiens (human)	path:hsa05332	kegg	isPartOf	Allograft Rejection	WP2328	wikipathways
Hedgehog signaling pathway - Homo sapiens (human)	path:hsa04340	kegg	equivalentTo	Hedgehog Signaling Pathway	WP47	wikipathways
Hepatocellular carcinoma - Homo sapiens (human)	path:hsa05225	kegg	isPartOf	Hepatitis C and Hepatocellular Carcinoma	WP3646	wikipathways
Histidine metabolism - Homo sapiens (human)	path:hsa00340	kegg	isPartOf	Amino Acid metabolism	WP3925	wikipathways
Homologous recombination - Homo sapiens (human)	path:hsa03440	kegg	equivalentTo	Homologous recombination	WP186	wikipathways
ERK Pathway in Huntington's Disease	WP3853	wikipathways	isPartOf	Huntington disease - Homo sapiens (human)	path:hsa05016	kegg
IL-17 signaling pathway - Homo sapiens (human)	path:hsa04657	kegg	equivalentTo	IL17 signaling pathway	WP2112	wikipathways
Insulin resistance - Homo sapiens (human)	path:hsa04931	kegg	isPartOf	Type II diabetes mellitus	WP1584	wikipathways
Insulin resistance - Homo sapiens (human)	path:hsa04931	kegg	isPartOf	Insulin signalling in human adipocytes (diabetic condition)	WP3635	wikipathways
Insulin signaling pathway - Homo sapiens (human)	path:hsa04910	kegg	isPartOf	Insulin signalling in human adipocytes (normal condition)	WP3634	wikipathways
Insulin signaling pathway - Homo sapiens (human)	path:hsa04910	kegg	isPartOf	Glucose Homeostasis	WP661	wikipathways
Lipoic acid metabolism - Homo sapiens (human)	path:hsa00785	kegg	isPartOf	Lipid Metabolism Pathway	WP3965	wikipathways
Lysine degradation - Homo sapiens (human)	path:hsa00310	kegg	isPartOf	Amino Acid metabolism	WP3925	wikipathways
MAPK signaling pathway - Homo sapiens (human)	path:hsa04010	kegg	equivalentTo	MAPK Signaling Pathway	WP382	wikipathways
p38 MAPK Signaling Pathway	WP400	wikipathways	isPartOf	MAPK signaling pathway - Homo sapiens (human)	path:hsa04010	kegg
MAPK Cascade	WP422	wikipathways	isPartOf	MAPK signaling pathway - Homo sapiens (human)	path:hsa04010	kegg
Caffeine and Theobromine metabolism	WP3633	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
NAD+ biosynthetic pathways	WP3645	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Lidocaine metabolism	WP2646	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Cori Cycle	WP1946	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Prostaglandin Synthesis and Regulation	WP98	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Tryptophan metabolism	WP465	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Fatty Acid Biosynthesis	WP357	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Heroin metabolism	WP2645	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Polyol Pathway	WP690	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Ganglio Sphingolipid Metabolism	WP1423	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Biogenic Amine Synthesis	WP550	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Methionine De Novo and Salvage Pathway	WP3580	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Arylamine metabolism	WP694	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Glycolysis and Gluconeogenesis	WP534	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Dopamine metabolism	WP2436	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Acetylcholine Synthesis	WP528	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Codeine and Morphine Metabolism	WP1604	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Synthesis and Degradation of Ketone Bodies	WP311	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Trans-sulfuration and one carbon metabolism	WP2525	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Glutathione metabolism	WP100	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
TCA Cycle	WP78	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Steroid Biosynthesis	WP496	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Eicosanoid Synthesis	WP167	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
NAD Biosynthesis II (from tryptophan)	WP2485	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Heme Biosynthesis	WP561	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Trans-sulfuration pathway	WP2333	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Oxidative phosphorylation	WP623	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Degradation pathway of sphingolipids, including diseases	WP4153	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Arachidonate Epoxygenase / Epoxide Hydrolase	WP678	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
PPAR Alpha Pathway	WP2878	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Peroxisomal beta-oxidation of tetracosanoyl-CoA	WP1941	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
NAD+ metabolism	WP3644	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Sphingolipid Metabolism	WP1422	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc)	WP2453	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Methylation Pathways	WP704	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Nicotine Metabolism	WP1600	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Triacylglyceride Synthesis	WP325	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Irinotecan Pathway	WP229	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Nucleotide Metabolism	WP404	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Biosynthesis and regeneration of tetrahydrobiopterin (BH4) and catabolism of phenylalanine, including diseases	WP4156	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Benzo(a)pyrene metabolism	WP696	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Mitochondrial LC-Fatty Acid Beta-Oxidation	WP368	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Amino Acid metabolism	WP3925	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Cholesterol Biosynthesis	WP197	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Oxytocin signaling	WP2889	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Fatty Acid Omega Oxidation	WP206	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Glycogen Metabolism	WP500	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Colchicine Metabolic Pathway	WP2536	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Cannabinoid receptor signaling	WP3869	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Cytosine methylation	WP3585	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Tryptophan catabolism leading to NAD+ production	WP4210	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Oxidation by Cytochrome P450	WP43	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Eukaryotic Transcription Initiation	WP405	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Kennedy pathway from Sphingolipids	WP3933	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Pentose Phosphate Pathway	WP134	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Tamoxifen metabolism	WP691	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Vitamin A and Carotenoid Metabolism	WP716	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Aflatoxin B1 metabolism	WP699	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
One carbon donor	WP2190	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Glycerophospholipid Biosynthetic Pathway	WP2533	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
One carbon metabolism and related pathways	WP3940	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Glucocorticoid and Mineralcorticoid Metabolism	WP237	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
One Carbon Metabolism	WP241	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Vitamin D Metabolism	WP1531	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Globo Sphingolipid Metabolism	WP1424	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Pyrimidine metabolism	WP4022	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Alanine and aspartate metabolism	WP106	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Lipid Metabolism Pathway	WP3965	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Glucuronidation	WP698	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Urea cycle and metabolism of amino groups	WP497	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Cocaine metabolism	WP2826	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Metabolism of Tetrahydrocannabinol (THC)	WP4174	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Electron Transport Chain	WP111	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Estrogen metabolism	WP697	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Diclofenac Metabolic Pathway	WP2491	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Metabolism of Spingolipids in ER and Golgi apparatus	WP4142	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Felbamate Metabolism	WP2816	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Fatty Acid Beta Oxidation	WP143	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Folate Metabolism	WP176	wikipathways	isPartOf	Metabolic pathways - Homo sapiens (human)	path:hsa01100	kegg
Mismatch repair - Homo sapiens (human)	path:hsa03430	kegg	equivalentTo	Mismatch repair	WP531	wikipathways
Morphine addiction - Homo sapiens (human)	path:hsa05032	kegg	isPartOf	Common Pathways Underlying Drug Addiction	WP2636	wikipathways
Nanoparticle triggered regulated necrosis	WP2513	wikipathways	isPartOf	Necroptosis - Homo sapiens (human)	path:hsa04217	kegg
GPCRs, Class C Metabotropic glutamate, pheromone	WP501	wikipathways	isPartOf	Neuroactive ligand-receptor interaction - Homo sapiens (human)	path:hsa04080	kegg
GPCRs, Class B Secretin-like	WP334	wikipathways	isPartOf	Neuroactive ligand-receptor interaction - Homo sapiens (human)	path:hsa04080	kegg
Small Ligand GPCRs	WP247	wikipathways	isPartOf	Neuroactive ligand-receptor interaction - Homo sapiens (human)	path:hsa04080	kegg
Peptide GPCRs	WP24	wikipathways	isPartOf	Neuroactive ligand-receptor interaction - Homo sapiens (human)	path:hsa04080	kegg
Monoamine GPCRs	WP58	wikipathways	isPartOf	Neuroactive ligand-receptor interaction - Homo sapiens (human)	path:hsa04080	kegg
GPCRs, Class A Rhodopsin-like	WP455	wikipathways	isPartOf	Neuroactive ligand-receptor interaction - Homo sapiens (human)	path:hsa04080	kegg
NAD Biosynthesis II (from tryptophan)	WP2485	wikipathways	isPartOf	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	path:hsa00760	kegg
Tryptophan catabolism leading to NAD+ production	WP4210	wikipathways	isPartOf	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	path:hsa00760	kegg
NAD+ metabolism	WP3644	wikipathways	isPartOf	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	path:hsa00760	kegg
Nicotine Metabolism	WP1600	wikipathways	isPartOf	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	path:hsa00760	kegg
NAD+ biosynthetic pathways	WP3645	wikipathways	isPartOf	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	path:hsa00760	kegg
GABA receptor Signaling	WP4159	wikipathways	isPartOf	Nicotine addiction - Homo sapiens (human)	path:hsa05033	kegg
