"","pathway_name","ID","family","mapp_type","category","mapped_ID","mapped_family"
"26","Drug Induction of Bile Acid Pathway","WP2289","wikipathways","isPartOf","Bile secretion - Homo sapiens (human)","path:hsa04976","kegg"
"27","Alanine and aspartate metabolism","WP106","wikipathways","isPartOf","Biosynthesis of amino acids - Homo sapiens (human)","path:hsa01230","kegg"
"28","Urea cycle and metabolism of amino groups","WP497","wikipathways","isPartOf","Biosynthesis of amino acids - Homo sapiens (human)","path:hsa01230","kegg"
"29","Biosynthesis of unsaturated fatty acids - Homo sapiens (human)","path:hsa01040","kegg","isPartOf","Fatty Acid Biosynthesis","WP357","wikipathways"
"30","Bladder cancer - Homo sapiens (human)","path:hsa05219","kegg","equivalentTo","Bladder Cancer","WP2828","wikipathways"
"31","Caffeine metabolism - Homo sapiens (human)","path:hsa00232","kegg","isPartOf","Caffeine and Theobromine metabolism","WP3633","wikipathways"
"32","Cori Cycle","WP1946","wikipathways","isPartOf","Carbon metabolism - Homo sapiens (human)","path:hsa01200","kegg"
"33","Pentose Phosphate Pathway","WP134","wikipathways","isPartOf","Carbon metabolism - Homo sapiens (human)","path:hsa01200","kegg"
"34","Glycolysis and Gluconeogenesis","WP534","wikipathways","isPartOf","Carbon metabolism - Homo sapiens (human)","path:hsa01200","kegg"
"35","TCA Cycle","WP78","wikipathways","isPartOf","Carbon metabolism - Homo sapiens (human)","path:hsa01200","kegg"
"36","One Carbon Metabolism","WP241","wikipathways","isPartOf","Carbon metabolism - Homo sapiens (human)","path:hsa01200","kegg"
"37","Cell cycle - Homo sapiens (human)","path:hsa04110","kegg","equivalentTo","Cell Cycle","WP179","wikipathways"
"38","G1 to S cell cycle control","WP45","wikipathways","isPartOf","Cell cycle - Homo sapiens (human)","path:hsa04110","kegg"
"39","Chemokine signaling pathway - Homo sapiens (human)","path:hsa04062","kegg","equivalentTo","Chemokine signaling pathway","WP3929","wikipathways"
"40","Cholesterol Biosynthesis","WP197","wikipathways","isPartOf","Cholesterol metabolism - Homo sapiens (human)","path:hsa04979","kegg"
"41","Imatinib and Chronic Myeloid Leukemia","WP3640","wikipathways","isPartOf","Chronic myeloid leukemia - Homo sapiens (human)","path:hsa05220","kegg"
"42","Circadian rythm related genes","WP3594","wikipathways","isPartOf","Circadian rhythm - Homo sapiens (human)","path:hsa04710","kegg"
"43","Citrate cycle (TCA cycle) - Homo sapiens (human)","path:hsa00020","kegg","equivalentTo","TCA Cycle","WP78","wikipathways"
"44","TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc)","WP2453","wikipathways","isPartOf","Citrate cycle (TCA cycle) - Homo sapiens (human)","path:hsa00020","kegg"
"45","Cocaine addiction - Homo sapiens (human)","path:hsa05030","kegg","isPartOf","Common Pathways Underlying Drug Addiction","WP2636","wikipathways"
"46","Complement and coagulation cascades - Homo sapiens (human)","path:hsa04610","kegg","equivalentTo","Complement and Coagulation Cascades","WP558","wikipathways"
"47","Complement Activation","WP545","wikipathways","isPartOf","Complement and coagulation cascades - Homo sapiens (human)","path:hsa04610","kegg"
"48","Cortisol synthesis and secretion - Homo sapiens (human)","path:hsa04927","kegg","isPartOf","Glucocorticoid and Mineralcorticoid Metabolism","WP237","wikipathways"
"49","Cysteine and methionine metabolism - Homo sapiens (human)","path:hsa00270","kegg","isPartOf","Amino Acid metabolism","WP3925","wikipathways"
"50","Methionine De Novo and Salvage Pathway","WP3580","wikipathways","isPartOf","Cysteine and methionine metabolism - Homo sapiens (human)","path:hsa00270","kegg"
"51","Cytokine-cytokine receptor interaction - Homo sapiens (human)","path:hsa04060","kegg","isPartOf","Cytokines and Inflammatory Response","WP530","wikipathways"
"52","Cytokine-cytokine receptor interaction - Homo sapiens (human)","path:hsa04060","kegg","isPartOf","Inflammatory Response Pathway","WP453","wikipathways"
"53","DNA replication - Homo sapiens (human)","path:hsa03030","kegg","equivalentTo","DNA Replication","WP466","wikipathways"
"54","Nicotine Activity on Dopaminergic Neurons","WP1602","wikipathways","isPartOf","Dopaminergic synapse - Homo sapiens (human)","path:hsa04728","kegg"
"55","Lidocaine metabolism","WP2646","wikipathways","isPartOf","Drug metabolism - cytochrome P450 - Homo sapiens (human)","path:hsa00982","kegg"
"56","Codeine and Morphine Metabolism","WP1604","wikipathways","isPartOf","Drug metabolism - cytochrome P450 - Homo sapiens (human)","path:hsa00982","kegg"
"57","Valproic acid pathway","WP3871","wikipathways","isPartOf","Drug metabolism - cytochrome P450 - Homo sapiens (human)","path:hsa00982","kegg"
"58","Nicotine Metabolism","WP1600","wikipathways","isPartOf","Drug metabolism - cytochrome P450 - Homo sapiens (human)","path:hsa00982","kegg"
"59","Tamoxifen metabolism","WP691","wikipathways","isPartOf","Drug metabolism - cytochrome P450 - Homo sapiens (human)","path:hsa00982","kegg"
"60","Felbamate Metabolism","WP2816","wikipathways","isPartOf","Drug metabolism - cytochrome P450 - Homo sapiens (human)","path:hsa00982","kegg"
"61","Diclofenac Metabolic Pathway","WP2491","wikipathways","isPartOf","Drug metabolism - cytochrome P450 - Homo sapiens (human)","path:hsa00982","kegg"
"62","Codeine and Morphine Metabolism","WP1604","wikipathways","isPartOf","Drug metabolism - other enzymes - Homo sapiens (human)","path:hsa00983","kegg"
"63","Caffeine and Theobromine metabolism","WP3633","wikipathways","isPartOf","Drug metabolism - other enzymes - Homo sapiens (human)","path:hsa00983","kegg"
"64","Glucuronidation","WP698","wikipathways","isPartOf","Drug metabolism - other enzymes - Homo sapiens (human)","path:hsa00983","kegg"
"65","Arylamine metabolism","WP694","wikipathways","isPartOf","Drug metabolism - other enzymes - Homo sapiens (human)","path:hsa00983","kegg"
"66","Felbamate Metabolism","WP2816","wikipathways","isPartOf","Drug metabolism - other enzymes - Homo sapiens (human)","path:hsa00983","kegg"
"67","Colchicine Metabolic Pathway","WP2536","wikipathways","isPartOf","Drug metabolism - other enzymes - Homo sapiens (human)","path:hsa00983","kegg"
"68","Cocaine metabolism","WP2826","wikipathways","isPartOf","Drug metabolism - other enzymes - Homo sapiens (human)","path:hsa00983","kegg"
"69","Heroin metabolism","WP2645","wikipathways","isPartOf","Drug metabolism - other enzymes - Homo sapiens (human)","path:hsa00983","kegg"
"70","ECM-receptor interaction - Homo sapiens (human)","path:hsa04512","kegg","isPartOf","Focal Adhesion","WP306","wikipathways"
"71","Endometrial cancer - Homo sapiens (human)","path:hsa05213","kegg","equivalentTo","Endometrial cancer","WP4155","wikipathways"
"72","ErbB signaling pathway - Homo sapiens (human)","path:hsa04012","kegg","equivalentTo","ErbB Signaling Pathway","WP673","wikipathways"
"73","Estrogen signaling pathway - Homo sapiens (human)","path:hsa04915","kegg","equivalentTo","Estrogen signaling pathway","WP712","wikipathways"
"74","Fatty acid biosynthesis - Homo sapiens (human)","path:hsa00061","kegg","equivalentTo","Fatty Acid Biosynthesis","WP357","wikipathways"
"75","Fatty Acid Omega Oxidation","WP206","wikipathways","isPartOf","Fatty acid degradation - Homo sapiens (human)","path:hsa00071","kegg"
"76","Peroxisomal beta-oxidation of tetracosanoyl-CoA","WP1941","wikipathways","isPartOf","Fatty acid degradation - Homo sapiens (human)","path:hsa00071","kegg"
"77","Mitochondrial LC-Fatty Acid Beta-Oxidation","WP368","wikipathways","isPartOf","Fatty acid degradation - Homo sapiens (human)","path:hsa00071","kegg"
"78","Fatty Acid Beta Oxidation","WP143","wikipathways","isPartOf","Fatty acid degradation - Homo sapiens (human)","path:hsa00071","kegg"
"79","Peroxisomal beta-oxidation of tetracosanoyl-CoA","WP1941","wikipathways","isPartOf","Fatty acid metabolism - Homo sapiens (human)","path:hsa01212","kegg"
"80","Mitochondrial LC-Fatty Acid Beta-Oxidation","WP368","wikipathways","isPartOf","Fatty acid metabolism - Homo sapiens (human)","path:hsa01212","kegg"
"81","Fatty Acid Beta Oxidation","WP143","wikipathways","isPartOf","Fatty acid metabolism - Homo sapiens (human)","path:hsa01212","kegg"
"82","Fatty Acid Biosynthesis","WP357","wikipathways","isPartOf","Fatty acid metabolism - Homo sapiens (human)","path:hsa01212","kegg"
"83","Focal adhesion - Homo sapiens (human)","path:hsa04510","kegg","equivalentTo","Focal Adhesion","WP306","wikipathways"
"84","Biosynthesis and regeneration of tetrahydrobiopterin (BH4) and catabolism of phenylalanine, including diseases","WP4156","wikipathways","isPartOf","Folate biosynthesis - Homo sapiens (human)","path:hsa00790","kegg"
"85","GABAergic synapse - Homo sapiens (human)","path:hsa04727","kegg","isPartOf","GABA receptor Signaling","WP4159","wikipathways"
"86","Gastric acid secretion - Homo sapiens (human)","path:hsa04971","kegg","equivalentTo","Secretion of Hydrochloric Acid in Parietal Cells","WP2597","wikipathways"
"87","Gastric Cancer Network 2","WP2363","wikipathways","isPartOf","Gastric cancer - Homo sapiens (human)","path:hsa05226","kegg"
"88","Gastric Cancer Network 1","WP2361","wikipathways","isPartOf","Gastric cancer - Homo sapiens (human)","path:hsa05226","kegg"
"89","Glucagon signaling pathway - Homo sapiens (human)","path:hsa04922","kegg","isPartOf","Glycolysis and Gluconeogenesis","WP534","wikipathways"
"90","Glucagon signaling pathway - Homo sapiens (human)","path:hsa04922","kegg","isPartOf","Energy Metabolism","WP1541","wikipathways"
"91","Glucagon signaling pathway - Homo sapiens (human)","path:hsa04922","kegg","isPartOf","Glycogen Metabolism","WP500","wikipathways"
"92","Glutathione metabolism - Homo sapiens (human)","path:hsa00480","kegg","equivalentTo","Glutathione metabolism","WP100","wikipathways"
"93","Glycerophospholipid Biosynthetic Pathway","WP2533","wikipathways","isPartOf","Glycerolipid metabolism - Homo sapiens (human)","path:hsa00561","kegg"
"94","Degradation pathway of sphingolipids, including diseases","WP4153","wikipathways","isPartOf","Glycerolipid metabolism - Homo sapiens (human)","path:hsa00561","kegg"
"95","Triacylglyceride Synthesis","WP325","wikipathways","isPartOf","Glycerolipid metabolism - Homo sapiens (human)","path:hsa00561","kegg"
"96","Glycerophospholipid Biosynthetic Pathway","WP2533","wikipathways","isPartOf","Glycerophospholipid metabolism - Homo sapiens (human)","path:hsa00564","kegg"
"97","Triacylglyceride Synthesis","WP325","wikipathways","isPartOf","Glycerophospholipid metabolism - Homo sapiens (human)","path:hsa00564","kegg"
"98","Glycine, serine and threonine metabolism - Homo sapiens (human)","path:hsa00260","kegg","isPartOf","Urea cycle and metabolism of amino groups","WP497","wikipathways"
"99","Glycine, serine and threonine metabolism - Homo sapiens (human)","path:hsa00260","kegg","isPartOf","Amino Acid metabolism","WP3925","wikipathways"
"100","Glycolysis / Gluconeogenesis - Homo sapiens (human)","path:hsa00010","kegg","equivalentTo","Glycolysis and Gluconeogenesis","WP534","wikipathways"
"101","Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)","path:hsa00604","kegg","isPartOf","Ganglio Sphingolipid Metabolism","WP1423","wikipathways"
"102","Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human)","path:hsa00603","kegg","isPartOf","Globo Sphingolipid Metabolism","WP1424","wikipathways"
"103","Graft-versus-host disease - Homo sapiens (human)","path:hsa05332","kegg","isPartOf","Allograft Rejection","WP2328","wikipathways"
"104","Hedgehog signaling pathway - Homo sapiens (human)","path:hsa04340","kegg","equivalentTo","Hedgehog Signaling Pathway","WP47","wikipathways"
"105","Hepatocellular carcinoma - Homo sapiens (human)","path:hsa05225","kegg","isPartOf","Hepatitis C and Hepatocellular Carcinoma","WP3646","wikipathways"
"106","Histidine metabolism - Homo sapiens (human)","path:hsa00340","kegg","isPartOf","Amino Acid metabolism","WP3925","wikipathways"
"107","Homologous recombination - Homo sapiens (human)","path:hsa03440","kegg","equivalentTo","Homologous recombination","WP186","wikipathways"
